name,static_instructions_case_linked_O0,dynamic_instructions_case_linked_O0
extr_linuxdriversgpudrmtegrasor.c_tegra_sor_hdmi_find_settings.c,25,25
extr_linuxdriversgpuhost1xsyncpt.c_host1x_syncpt_get_base.c,12,12
extr_linuxdriversiommuipmmu-vmsa.c_ipmmu_is_root.c,11,11
extr_linuxdriversirqchipirq-mvebu-gicp.c_gicp_idx_to_spi.c,15,15
extr_linuxdriversmddm-cache-policy.c_dm_cache_policy_get_hint_size.c,10,10
extr_linuxdriversmddm-raid1.c_bio_set_m.c,9,9
extr_linuxdriversmediadvb-coredvb_demux.c_dvb_dmx_feed_alloc.c,26,26
extr_linuxdriversmediadvb-coredvb_demux.c_dvb_dmx_filter_alloc.c,26,26
extr_linuxdriversmediapcicx18cx18-streams.c_cx18_find_handle.c,12,12
extr_linuxdriversmediausbgo7007go7007-driver.c_go7007_update_board.c,36,36
extr_linuxdriversmediausbem28xxem28xx-video.c_norm_maxw.c,16,16
extr_linuxdriversmediausbem28xxem28xx-video.c_norm_maxh.c,16,16
extr_linuxdriversmediav4l2-corev4l2-clk.c_fixed_get_rate.c,10,10
extr_linuxdriversnetethernetbroadcombnx2.c_bnx2_clear_ring_states.c,9,9
extr_linuxdriversnetethernetmellanoxmlxswpci.c_mlxsw_pci_queue_type_group_get.c,11,11
extr_linuxdriversnetethernetmellanoxmlxswspectrum1_mr_tcam.c_mlxsw_sp1_mr_tcam_protocol_region.c,11,11
extr_linuxdriversnetethernetmellanoxmlxswspectrum_acl_tcam.c_mlxsw_sp_acl_tcam_entry_priv_size.c,10,10
extr_linuxdriversnetethernetmellanoxmlxswspectrum_acl_tcam.c_mlxsw_sp_acl_tcam_priv_size.c,10,10
extr_linuxdriversnetethernetmellanoxmlxswspectrum_acl.c_mlxsw_sp_acl_rule_rulei.c,7,7
extr_linuxdriversnetethernetmellanoxmlxswspectrum_acl_atcam.c_mlxsw_sp_acl_atcam_generic_lkey_id_get.c,11,11
extr_linuxdriversnetwirelessathath6klsdio.c_ath6kl_sdio_priv.c,7,7
extr_linuxdriversnetwirelessathath6klusb.c_ath6kl_usb_priv.c,7,7
extr_linuxdriversnvdimmcore.c_to_nd_desc.c,7,7
extr_linuxdriverspcihost-bridge.c_find_pci_root_bus.c,13,70002
extr_linuxdriverspowersupplygeneric-adc-battery.c_gab_get_status.c,19,19
extr_linuxdriversrtcrtc-tps6586x.c_to_tps6586x_dev.c,7,7
extr_linuxdriversscsicxlflashvlun.c_ba_space.c,10,10
extr_linuxdriversscsisym53c8xx_2sym_misc.h_sym_que_first.c,13,13
extr_linuxdriversscsisym53c8xx_2sym_misc.h_sym_que_empty.c,11,11
extr_linuxdriversscsisym53c8xx_2sym_misc.h_sym_que_last.c,13,13
extr_linuxdriversshclkcore.c_clk_get_parent.c,11,11
extr_linuxdriversshclkcore.c_lookup_root_clock.c,13,70002
extr_linuxdriversstagingrtlwifihalmachalmac_88xxhalmac_8822b....halmac_88xx..halmac_type.h_halmac_adapter_validate.c,15,15
extr_linuxdriversstagingrtlwifihalmachalmac_88xx..halmac_88xxhalmac_8822b....halmac_type.h_halmac_adapter_validate.c,15,15
extr_linuxdriversstagingrtlwifihalmachalmac_88xxhalmac_8822b....halmac_type.h_halmac_adapter_validate.c,15,15
extr_linuxdriversstagingrtlwifirtl8822be..halmachalmac_88xxhalmac_8822b....halmac_type.h_halmac_adapter_validate.c,15,15
extr_linuxdriversttyserialpmac_zilog.h_pmz_get_port_A.c,14,14
extr_linuxdriversusbc67x00c67x00-sched.c_get_root_port.c,15,79995
extr_linuxdriversusbcorehcd.c_usb_hcd_is_primary_hcd.c,16,16
extr_linuxdriversusbcorehub.c_usb_set_lpm_sel.c,37,100010
extr_linuxdriversusbhostuhci-q.c_uhci_add_fsbr.c,11,11
extr_linuxdriversusbhostxhci-ring.c_inc_td_cnt.c,12,12
