name,static_instructions_case_big-arr_O0,dynamic_instructions_case_big-arr_O0
extr_linuxdriversusbstorage....scsisd.h_sd_zbc_setup_report_cmnd.c,6,6
extr_linuxdriversusbstorage....scsisd.h_sd_dif_config_host.c,5,5
extr_linuxdriversusbtypecclass.c_typec_get_orientation.c,7,7
extr_linuxdriversusbtypecfusb302fusb302.c_init_tcpc_dev.c,41,41
extr_linuxdriversusbstoragesierra_ms.c_containsFullLinuxPackage.c,13,13
extr_linuxdriversusbstorage....scsisd.h_logical_to_bytes.c,9,9
extr_linuxdriversusbstoragealauda.c_nand_compare_ecc.c,32,32
extr_linuxdriversusbstorage....scsisd.h_sd_zbc_read_zones.c,7,7
extr_linuxdriversusbstoragesddr09.c_nand_compare_ecc.c,32,32
extr_linuxdriversusbstoragejumpshot.c_jumpshot_info_destructor.c,5,5
extr_linuxdriversusbstoragesddr55.c_sddr55_reset.c,6,6
extr_linuxdriversusbstorageene_ub6250.c_ms_count_freeblock.c,17,17
extr_linuxdriversusbstorageuas.c_uas_resume.c,6,6
extr_linuxdriversusbstorageusb.c_get_transport.c,19,19
extr_linuxdriversusbtypectcpci.c_tcpci_to_typec_cc.c,13,13
extr_linuxdriversusbstorage....scsisd.h_sd_zbc_complete.c,7,7
extr_linuxdriversusbstorage....scsisd.h_sd_zbc_remove.c,5,5
extr_linuxdriversusbstorage....scsisd.h_sd_zbc_setup_reset_cmnd.c,6,6
extr_linuxdriversusbstoragesddr09.c_nand_flash_manufacturer.c,14,14
extr_linuxdriversusbstorage....scsisd.h_scsi_medium_access_command.c,38,38
extr_linuxdriversusbstorageuas-detect.h_uas_is_interface.c,14,14
extr_linuxdriversusbtypecfusb302fusb302.c_fusb302_bc_lvl_to_cc.c,17,17
extr_linuxdriversusbstoragedatafab.c_datafab_info_destructor.c,5,5
extr_linuxdriversusbtypecfusb302fusb302.c_tcpm_set_polarity.c,7,7
extr_linuxdriversusbstorage....scsisd.h_sd_is_zoned.c,19,19
extr_linuxdriversusbstorageshuttle_usbat.c_usbat_pack_ata_sector_cmd.c,42,42
extr_linuxdriversusbstoragescsiglue.c_write_info.c,8,8
extr_linuxdriversusbstorageisd200.c_isd200_srb_set_bufflen.c,9,9
extr_linuxdriversusbstorageusb.c_get_protocol.c,12,12
extr_linuxdriversusbtypectcpm.c_hard_reset_state.c,13,13
extr_linuxdriversusbstorage....scsisd.h_sd_zbc_print_zones.c,5,5
extr_linuxdriversusbstorageusb.c_us_set_lock_class.c,6,6
extr_linuxdriversusbtypectcpm.c_tcpm_log_source_caps.c,5,5
extr_linuxdriversusbtypectypec_wcove.c_wcove_set_current_limit.c,8,8
extr_linuxdriversusbusbipstub_tx.c_setup_base_pdu.c,19,19
extr_linuxdriversusbusbipusbip_common.c_usbip_pack_iso.c,26,26
extr_linuxdriversusbusbipusbip_event.c_usbip_in_eh.c,10,10
extr_linuxdriversusbtypectcpm.c_ready_state.c,12,12
extr_linuxdriversusbwusbcorerh.c_wusb_port_init.c,9,9
extr_linuxdriversusbwusbcorewusbhc.h_wusb_port_no_to_idx.c,7,7
extr_linuxdriversusbtypectcpm.c_tcpm_psy_prop_writeable.c,12,12
extr_linuxdriversusbwusbcorerh.c_wusbhc_rh_get_hub_status.c,10,10
extr_linuxdriversusbusbipvudc_tx.c_setup_base_pdu.c,19,19
extr_linuxdriversvfiomdevmdev_core.c_mdev_dev.c,6,6
extr_linuxdriversuwbrsv.c_uwb_rsv_modify.c,10,10
extr_linuxdriversusbwusbcoresecurity.c_wusb_et_name.c,14,14
extr_linuxdriversusbwusbcoresecurity.c_wusb_dev_sec_rm.c,5,5
extr_linuxdriversusbwusbcoredevconnect.c_wusbhc_devconnect_destroy.c,5,5
extr_linuxdriversusbusbipusbip_common.c_tweak_transfer_flags.c,10,10
extr_linuxdriversusbusb-skeleton.c_skel_resume.c,6,6
extr_linuxdriversusbtypectcpm.c_tcpm_port_is_disconnected.c,32,32
extr_linuxdriversusbtypectcpm.c_unattached_state.c,17,17
extr_linuxdriversusbusbipusbip_common.c_usbip_pack_ret_submit.c,32,32
extr_linuxdriversuwballocator.c_uwb_rsv_fill_column_alloc.c,34,416987117
extr_linuxdriversusbwusbcorewa-xfer.c_wa_xfer_id.c,7,7
extr_linuxdriversvfiomdevmdev_core.c_mdev_get_drvdata.c,7,7
extr_linuxdriversusbwusbcorerh.c_wusbhc_rh_clear_hub_feat.c,14,14
extr_linuxdriversuwbradio.c_uwb_radio_select_channel.c,16,16
extr_linuxdriversvfiomdevmdev_core.c_mdev_set_drvdata.c,9,9
extr_linuxdriversvfiopcivfio_pci_private.h_vfio_pci_igd_init.c,7,7
extr_linuxdriversvfiomdevmdev_core.c_mdev_uuid.c,7,7
extr_linuxdriversvhostnet.c_vhost_net_tx_err.c,9,9
extr_linuxdriversvhostscsi.c_vhost_scsi_check_false.c,6,6
extr_linuxdriversvfioplatformvfio_platform_common.c_vfio_platform_acpi_has_reset.c,6,6
extr_linuxdriversvhostnet.c_vhost_net_tx_select_zcopy.c,13,13
extr_linuxdriversvhostnet.c_vhost_net_buf_get_size.c,9,9
extr_linuxdriversvhostscsi.c_vhost_scsi_sess_get_index.c,6,6
extr_linuxdriversvfiovfio.c_vfio_external_group_match_file.c,18,18
extr_linuxdriversvhostscsi.c_vhost_scsi_get_cmd_state.c,6,6
