name,static_instructions_case_bintree_O0,dynamic_instructions_case_bintree_O0
extr_linuxdriversvideofbdevsissis_main.c_sisfb_insert_node.c,21,21
extr_linuxsamplesbpftest_lru_dist.c_INIT_LIST_HEAD.c,11,11
extr_linuxsamplesbpftest_lru_dist.c___list_del.c,12,12
extr_linuxsamplesbpftest_lru_dist.c___list_add.c,19,19
extr_linuxscriptskconfiglist.h___list_add.c,19,19
extr_linuxscriptskconfiglist.h___list_del.c,12,12
extr_linuxtoolsfirewirelist.h_list_init.c,11,11
extr_linuxtoolsfirewirelist.h_list_insert.c,21,21
extr_linuxtoolstestingselftestsnet..kselftest_harness.h___register_test.c,18,18
extr_linuxtoolstestingselftestsseccomp..kselftest_harness.h___register_test.c,18,18
extr_linuxtoolstestingselftestsrtc..kselftest_harness.h___register_test.c,18,18
extr_linuxtoolstestingselftestsuevent..kselftest_harness.h___register_test.c,18,18
extr_linuxtoolsusbusbiplibsrclist.h___list_add.c,19,19
extr_linuxtoolsusbusbiplibsrclist.h___list_del.c,12,12
extr_linuxtoolsusbusbiplibsrclist.h_INIT_LIST_HEAD.c,11,11
extr_reactosbaseservicesnfsdlist.h_list_add.c,19,19
extr_reactosbaseservicesnfsdlist.h_list_init.c,11,11
extr_reactosdllwin32hhctrl.ocxcontent.c_insert_item.c,22,22
extr_reactosdllwin32riched20list.c_ME_InsertBefore.c,21,21
extr_reactossdktoolshhpcompchmclist.h___list_add.c,19,19
extr_reactossdktoolshhpcompchmclist.h___list_splice.c,27,27
extr_reactossdktoolshhpcompchmclist.h___list_del.c,12,12
extr_rufussrcext2fskernel-list.h___list_add.c,19,19
extr_rufussrcext2fskernel-list.h___list_del.c,12,12
extr_rufussrcext2fskernel-list.h_list_splice.c,30,30
extr_rufussrclocalization.h_list_add.c,20,20
extr_rufussrclocalization.h_list_add_tail.c,20,20
extr_skynet3rdlualstring.c_shrstr_allocpage.c,14,14
