name,static_instructions_case_linked_O0,dynamic_instructions_case_linked_O0
extr_linuxdriversxenxen-pcibackvpci.c_list_first.c,7,7
extr_linuxfsjffs2nodelist.h_jffs2_raw_ref_to_ic.c,13,70002
extr_linuxfskernfsdir.c_kernfs_depth.c,28,189998
extr_linuxfsmount.h_mnt_has_parent.c,11,11
extr_linuxfsnotifyfanotify....mount.h_mnt_has_parent.c,11,11
extr_linuxfsnotify..mount.h_mnt_has_parent.c,11,11
extr_linuxfsproc..mount.h_mnt_has_parent.c,11,11
extr_linuxfsxfslibxfsxfs_da_format.c_xfs_dir2_leaf_ents_p.c,7,7
extr_linuxkernelcgroupcgroup.c_cgroup_is_threaded.c,11,11
extr_linuxkernelcgroupcgroup.c_css_set_threaded.c,11,11
extr_linuxkernelgcovgcc_4_7.c_gcov_info_next.c,11,11
extr_linuxkernelgcovgcc_3_4.c_gcov_info_next.c,11,11
extr_linuxkernelgcovgcc_3_4.c_gcov_info_link.c,10,10
extr_linuxkernelgcovgcc_4_7.c_gcov_info_link.c,10,10
extr_linuxkerneltracetrace_events_trigger.c_set_named_trigger_data.c,9,9
extr_linuxkerneltracetrace_events_trigger.c_get_named_trigger_data.c,7,7
extr_linuxlibllist.c_llist_reverse_order.c,20,130009
extr_linuxnetcaifcffrml.c_cffrml_set_dnlayer.c,9,9
extr_linuxnetcaifcffrml.c_cffrml_set_uplayer.c,9,9
extr_linuxnetcorertnetlink.c_rtnl_kfree_skbs.c,15,15
extr_linuxnetdccpccidslibpacket_history.h_tfrc_tx_hist_find_entry.c,20,20
extr_linuxnetnetfilteripvsip_vs_sync.c_in_persistence.c,22,120000
extr_linuxscriptsdtclivetree.c_reverse_properties.c,22,130011
extr_linuxscriptsdtclivetree.c_add_reserve_entry.c,26,80013
extr_linuxsecurityapparmorpolicy_ns.c_aa_ns_visible.c,26,110017
extr_linuxsecurityselinuxhooks.c_inode_security_novalidate.c,7,7
extr_linuxsecurityselinuxssavtab.c_avtab_search_node_next.c,42,42
extr_linuxsecuritysmacksmack_lsm.c_smack_kernel_create_files_as.c,21,21
extr_linuxsoundpcictxfictsrc.c_src_next_interleave.c,7,7
extr_linuxsoundsoccodecswm_adsp.c_wm_adsp_find_region.c,13,13
extr_linuxsoundsocomapmcbsp.c_omap_st_is_enabled.c,14,14
extr_linuxtoolsfirewirelist.h_list_empty.c,11,11
extr_masscansrcproto-banout.c_banout_find_proto.c,20,20
extr_mimikatzmodulessqlite3_omit.c_findRightmost.c,13,70002
extr_mimikatzmodulessqlite3_omit.c_countLookasideSlots.c,16,90009
extr_mongooseexamplesapi_serversqlite3.c_pcacheMergeDirtyList.c,40,240026
extr_mongooseexamplesrestful_server_s3restful_server_s3.c_link_conns.c,12,12
extr_mpvvideooutopenglra_gl.c_ra_gl_get_raw_tex.c,19,19
extr_mpvvideooutvo.c_reset_vsync_timings.c,16,16
extr_mpvvideooutx11_common.c_dnd_reset.c,12,12
extr_nodemcu-firmwareapplwipcorepbuf.c_pbuf_clen.c,16,90009
extr_nodemcu-firmwareappsqlite3sqlite3.c_findRightmost.c,13,70002
extr_opensslcryptobiobio_lib.c_BIO_next.c,11,11
extr_opensslcryptobiobio_lib.c_BIO_set_next.c,9,9
extr_php-srcextopcacheOptimizerzend_inference.c_get_class_entry_rank.c,12,12
extr_radare2librbinformatomfomf.c_get_next_omf_record_type.c,18,100010
extr_radare2shlrgrubkerndisk.c_grub_disk_dev_unregister.c,12,12
extr_radare2shlrgrubkerndisk.c_grub_disk_dev_register.c,10,10
extr_radare2shlrsdbsrcls.c__sdb_list_split.c,48,125015
extr_radare2shlrtcctccgen.c_sym_find2.c,16,16
extr_reactosbaseservicesnfsdlist.h_list_empty.c,11,11
extr_reactosdllwin32gdiplusgraphicspath.c_path_list_count.c,16,90003
extr_reactosdllwin32uxthememsstyles.c_MSSTYLES_LFindProperty.c,23,23
extr_reactosdllwin32vbscriptparser.tab.c_link_statements.c,20,80007
extr_reactosdriversfilesystemsbtrfsflushthread.c_add_parents_to_cache.c,15,99998
extr_reactosdriversfilesystemsbtrfssend.c_find_path_len.c,21,21
extr_reactosdriversstorageclasspnpclassp.h_SimplePopSlist.c,17,17
extr_reactosdriversfilesystemsntfsbtree.c_CountBTreeKeys.c,18,90011
extr_reactosmodulesrostestskmtestsntos_exExSingleList.c_QueryDepthList.c,17,100000
extr_reactosmodulesrostestskmtestsntos_exExSingleList.c_FlushList.c,11,11
extr_reactossdklibdriverslwipsrccorepbuf.c_pbuf_clen.c,16,90009
extr_reactossdktoolshhpcompchmclist.h_list_empty.c,11,11
extr_reactoswin32ssuserwinsrvconsrvalias.c_IntGetConsoleAliasesExesLength.c,22,120012
extr_rufussrcext2fskernel-list.h_list_empty.c,11,11
extr_rufussrclibcdiodriverds.c__cdio_list_node_next.c,12,12
extr_skynet3rdlualstring.c_shrstr_allocpage.c,14,14
extr_swayswaytreecontainer.c_container_has_ancestor.c,17,90010
extr_swayswaytreecontainer.c_container_is_fullscreen_or_child.c,11,11
extr_tmuxscreen.c_screen_check_selection.c,18,18
extr_wcdbandroidsqlciphersqlite3.c_findRightmost.c,13,70002
extr_wcdbandroidsqlciphersqlite3.c_countLookasideSlots.c,16,90009
extr_xhyvesrcbhyvegc.c_bhyvegc_get_image.c,11,11
