name,static_instructions_case_bintree_O0,dynamic_instructions_case_bintree_O0
extr_labenginecodeqcommonhuffman.c_swaplist.c,62,62
extr_linuxarchsparcmmsrmmu.c_add_to_ctx_list.c,18,18
extr_linuxscriptskconfiglist.h___list_add.c,19,19
extr_kphp-kdbtexttext-data.c_stree_lookup.c,20,20
extr_reactosbaseservicesnfsdlist.h_list_init.c,11,11
extr_kphp-kdblistslists-data.c_tree_ext_global_lookup.c,21,21
extr_gitlist.h___list_del.c,12,12
extr_kphp-kdbcopyexeccopyexec-data.c_tlist_insert.c,23,23
extr_kphp-kdbdrinklessdl-perm.c_list_add.c,21,21
extr_reactossdktoolshhpcompchmclist.h___list_del.c,12,12
extr_kphp-kdbimageimage-engine.c_tlist_insert.c,27,27
extr_kphp-kdbfilesysfilesys-data.c_tree_lowerbound.c,21,21
extr_linuxdriversatmiphase.c_ia_deque_rtn_q.c,24,24
extr_rufussrcext2fskernel-list.h_list_splice.c,30,30
extr_kphp-kdblistslists-data.c_ltree_merge.c,43,278
extr_gitcompat..list.h_list_add_tail.c,20,20
extr_linuxtoolstestingselftestsuevent..kselftest_harness.h___register_test.c,18,18
extr_linuxtoolstestingselftestsrtc..kselftest_harness.h___register_test.c,18,18
extr_gitcompatwin32....list.h_list_splice.c,28,28
extr_kphp-kdbcopyfastcopyfast-server.c_tree_lookup.c,20,20
extr_linuxtoolsfirewirelist.h_list_insert.c,21,21
extr_linuxtoolsusbusbiplibsrclist.h_INIT_LIST_HEAD.c,11,11
extr_kphp-kdbtexttext-data.c_tree_num_lookup.c,21,21
extr_linuxtoolstestingselftestsnet..kselftest_harness.h___register_test.c,18,18
extr_kphp-kdbtexttext-data.c_stree_merge.c,43,278
extr_labenginecodebotlibbe_aas_route.c_AAS_LinkCache.c,15,15
extr_kphp-kdbantispamantispam-db-treap.c_tree_merge_sk.c,38,198
extr_kphp-kdbfilesysfilesys-data.c_add_use.c,15,15
