name,static_instructions_case_linked_O0,dynamic_instructions_case_linked_O0
extr_labenginecodebspcbrushbsp.c_CountBrushList.c,16,90009
extr_reactosdriversfilesystemsbtrfssend.c_find_path_len.c,21,21
extr_linuxdriversnetethernetbroadcombnx2.c_bnx2_clear_ring_states.c,9,9
extr_kphp-kdbwatchcatwatchcat-data.c_free_wkey.c,13,13
extr_linuxtoolsfirewirelist.h_list_empty.c,11,11
extr_linuxkerneltracetrace_events_trigger.c_get_named_trigger_data.c,7,7
extr_linuxdriversshclkcore.c_lookup_root_clock.c,13,70002
extr_linuxblockblk-merge.c_req_no_special_merge.c,16,16
extr_darwin-xnubsdvfskpi_vfs.c_vnode_parent.c,7,7
extr_labenginecodegameai_dmq3.c_BotFreeWaypoints.c,18,130007
extr_linuxdriversmediadvb-coredvb_demux.c_dvb_dmx_filter_alloc.c,26,26
extr_darwin-xnuosfmki386cpu_threads.c_x86_match_cache.c,42,42
extr_linuxdriversscsisym53c8xx_2sym_misc.h_sym_que_last.c,13,13
extr_linuxfsnotifyfanotify....mount.h_mnt_has_parent.c,11,11
extr_labq3map2libspicomodellwoenvelope.c_lwFindEnvelope.c,16,16
extr_darwin-xnuosfmkkernsched_dualq.c_sched_dualq_thread_avoid_processor.c,18,18
extr_linuxdriverspowersupplygeneric-adc-battery.c_gab_get_status.c,19,19
extr_darwin-xnubsdkernuipc_mbuf.c_m_last.c,13,70002
extr_linuxdriversmediav4l2-corev4l2-clk.c_fixed_get_rate.c,10,10
extr_linuxdriversstagingrtlwifihalmachalmac_88xxhalmac_8822b....halmac_88xx..halmac_type.h_halmac_adapter_validate.c,15,15
extr_linuxdriversttyserialpmac_zilog.h_pmz_get_port_A.c,14,14
extr_linuxdriversgpudrmexynosexynos_drm_ipp.c___ipp_format_get.c,15,15
extr_swayswaytreecontainer.c_container_is_fullscreen_or_child.c,11,11
extr_opensslcryptobiobio_lib.c_BIO_next.c,11,11
extr_nodemcu-firmwareappsqlite3sqlite3.c_findRightmost.c,13,70002
extr_linuxfsjffs2nodelist.h_jffs2_raw_ref_to_ic.c,13,70002
extr_mongooseexamplesapi_serversqlite3.c_pcacheMergeDirtyList.c,40,240026
extr_linuxsoundsoccodecswm_adsp.c_wm_adsp_find_region.c,13,13
extr_linuxsoundpcictxfictsrc.c_src_next_interleave.c,7,7
extr_linuxdriversclkrockchipclk-cpu.c_rockchip_get_cpuclk_settings.c,16,16
extr_reactosdriversfilesystemsntfsbtree.c_CountBTreeKeys.c,18,90011
extr_linuxdriversrtcrtc-tps6586x.c_to_tps6586x_dev.c,7,7
extr_masscansrcproto-banout.c_banout_find_proto.c,20,20
extr_kphp-kdbtexttext-data.c_free_stack_node.c,10,10
extr_linuxdriversiommuipmmu-vmsa.c_ipmmu_is_root.c,11,11
extr_linuxsecurityselinuxssavtab.c_avtab_search_node_next.c,42,42
extr_gitlist.h_list_empty.c,11,11
extr_emscriptensystemliblibcmuslldsodynlink.c_make_global.c,13,80007
extr_linuxkernelgcovgcc_4_7.c_gcov_info_next.c,11,11
extr_linuxdriversnetethernetmellanoxmlxswspectrum_acl_tcam.c_mlxsw_sp_acl_tcam_priv_size.c,10,10
extr_gittransport.c_transport_refs_pushed.c,15,15
extr_linuxdriversnetwirelessathath6klusb.c_ath6kl_usb_priv.c,7,7
extr_linuxdriversnetethernetmellanoxmlxswspectrum_acl_tcam.c_mlxsw_sp_acl_tcam_entry_priv_size.c,10,10
extr_linuxarcharmmach-omap1clock.c_clk_get_parent.c,7,7
extr_linuxarchs390hypfsinode.c_hypfs_add_dentry.c,10,10
extr_linuxdriversnetethernetmellanoxmlxswspectrum_acl.c_mlxsw_sp_acl_rule_rulei.c,7,7
extr_reactosdriversstorageclasspnpclassp.h_SimplePopSlist.c,17,17
extr_reactosdllwin32vbscriptparser.tab.c_link_statements.c,20,80007
extr_mpvvideooutopenglra_gl.c_ra_gl_get_raw_tex.c,19,19
extr_linuxfsmount.h_mnt_has_parent.c,11,11
extr_gitbuiltinpack-redundant.c_pack_list_size.c,16,90009
extr_darwin-xnubsdkernuipc_mbuf.c_m_length.c,27,110018
extr_linuxdriversmediapcicx18cx18-streams.c_cx18_find_handle.c,12,12
extr_emscriptentestssqlitesqlite3.c_pcacheMergeDirtyList.c,40,240026
extr_linuxfsnotify..mount.h_mnt_has_parent.c,11,11
extr_xhyvesrcbhyvegc.c_bhyvegc_get_image.c,11,11
extr_kphp-kdbTLtl-parser.c_list_token_reverse.c,22,130011
extr_curllibslist.c_slist_get_last.c,19,70008
extr_kphp-kdbtargtarg-search.c_free_qnode.c,13,13
extr_linuxlibllist.c_llist_reverse_order.c,20,130009
extr_goaccesssrcgslist.c_list_count.c,16,90009
extr_rufussrcext2fskernel-list.h_list_empty.c,11,11
extr_h2odepslibgkcgkc.c_list_empty.c,11,11
extr_gitcompat..list.h_list_empty.c,11,11
extr_radare2shlrgrubkerndisk.c_grub_disk_dev_register.c,10,10
extr_gitblame.c_blame_merge.c,43,140023
extr_linuxarchs390numamode_emu.c_core_mc.c,7,7
extr_reactosdriversfilesystemsbtrfsflushthread.c_add_parents_to_cache.c,15,99998
extr_mpvvideooutx11_common.c_dnd_reset.c,12,12
extr_linuxdriversnetethernetmellanoxmlxswspectrum_acl_atcam.c_mlxsw_sp_acl_atcam_generic_lkey_id_get.c,11,11
extr_labq3map2q3map2facebsp.c_CountFaceList.c,16,90009
extr_darwin-xnubsdkernkern_control.c_m_space.c,20,110011
