name,static_instructions_case_big-arr_O0,dynamic_instructions_case_big-arr_O0
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_blt_Slot_inst_encode.c,7,7
extr_kphp-kdbqueuequeue-data.c_get_qtype.c,16,16
extr_linuxdriversmdpersistent-datadm-persistent-data-internal.h_dm_hash_block.c,10,10
extr_linuxfsiomap.c_iomap_sector.c,13,13
extr_radare2librutilflist.c_r_flist_get.c,10,10
extr_linuxarchx86kernelhpet.c_hpet_msi_capability_lookup.c,5,5
extr_linuxdriversparportshare.c_dead_onearg.c,5,5
extr_reactosdllopenglmesapointers.c_init_exec_pointers.c,530,530
extr_linuxdriversgpudrmamdamdgpusi_dpm.c_si_dpm_soft_reset.c,6,6
extr_darwin-xnubsdkernkpi_mbuf.c_mbuf_get_timestamp_requested.c,17,17
extr_linuxdriversgpudrmmsmadrenoa6xx.xml.h_A6XX_GRAS_SC_VIEWPORT_SCISSOR_TL_0_Y.c,9,9
extr_linuxarchx86kvmvmx.c_handle_monitor_trap.c,6,6
extr_linuxdriversw1slavesw1_ds2433.c_w1_f23_remove_slave.c,5,5
extr_linuxnetdccpfeat.h_dccp_feat_genopt.c,18,18
extr_linuxkernelschedcore.c_get_preempt_disable_ip.c,6,6
extr_linuxdriversscsicxgbilibcxgbi.h_cxgbi_sock_is_established.c,11,11
extr_php-srcZendzend_bitset.h_zend_bitset_union_with_difference.c,32,5623
extr_linuxkerneltracetrace_events_trigger.c_event_trigger_init.c,11,11
extr_linuxdriverscryptoqatqat_c3xxxadf_c3xxx_hw_data.c_get_ae_mask.c,8,8
extr_linuxdriversnetethernetmellanoxmlxswspectrum_mr.c_mlxsw_sp_mr_mfc_offload_set.c,14,14
extr_linuxarchx86kernelcpucommon.c_identify_cpu_without_cpuid.c,5,5
extr_linuxdriversmediai2csoc_cameratw9910.c_tw9910_g_tvnorms.c,11,11
extr_linuxnetsunrpcxprtrdmaxprt_rdma.h_rpcrdma_set_xdrlen.c,13,13
extr_linuxdriversedacx38_edac.c_eccerrlog_syndrome.c,9,9
extr_php-srcextsplspl_dllist.c_spl_ptr_llist_first.c,13,13
extr_micropythonpyunicode.c_unichar_isupper.c,12,12
extr_jqsrcjv.c_jvp_string_length.c,8,8
extr_curllibhostip4.c_Curl_ipvalid.c,12,12
extr_linuxdriversgpudrmmsmdispmdp5mdp5.xml.h_MDP5_INTF_ACTIVE_VSTART_F1_VAL.c,9,9
extr_curltestsserverutil.c_raw_toupper.c,12,12
extr_linuxdriversinfinibandhwi40iwi40iw_uk.c_i40iw_fragcnt_to_wqesize_rq.c,25,25
extr_openpilotphonelibsnanovgstb_image.h_stbi__jpeg_dequantize.c,21,905
extr_linuxsecurityselinuxxfrm.c_selinux_authorizable_ctx.c,18,18
extr_linuxarchsparckernelsys_sparc_64.c_COLOR_ALIGN.c,23,23
extr_linuxdriversisdngigasetbas-gigaset.c_gigaset_set_line_ctrl.c,8,8
extr_linuxdriverscryptoqatqat_c3xxxvfadf_c3xxxvf_hw_data.c_get_pf2vf_offset.c,6,6
